tweet,Sentimen
 https://bit.ly/2L6CcbB  | Seharusnya saat ini Pemerintah Lampung bisa memberikan bantuan kepada mahasiswa tersebut. Mengingat begitu derasnya donasi yang masuk ke Pemprov Lampung melalui tim gugus tugas COVID-19.  pic.twitter.com/AndU9vXtJG,Negatif
Klo kata gw Pemerintah tuh lagi menerapkan Herd immunity karena kemampuan pemerintah nihil soal pemberantasan covid. Gambling udah siapa kuat dia bertahan hidup yang lemah maka mati. Padahal dinegara lain begitu serius menangani virus tsb.,Negatif
Saat ini yang bisa saya lakukan hanya menyiapkan makanan untuk berbuka dan sahur untuk 10 kepala keluarga terdampak covid di Tasik dan tidak dpt bantuan dr pemerintah krn tidak masuk di data. Untuk akhir Ramadhan kita sedang rencanakan paket sembako lengkap. Semoga ada rejekinya.,Negatif
"emosi bgt, lg kondisi begini gue disuruh liputan tentang covid. ini dosen gue bercanda ga si?pemerintah aja nyuruh #dirumahaja masa gue disuruh liputan keluar rumah😤",Negatif
"Bang gimna pemerintah mau peduli RRC urus ABK yg meninggal cman 1 di china itu
Sedang korban covid 19 sampe ratusan  yg udah meninggal aja pemerintah di indonesia kurang peduli bang.kasian keluarga mereka bang pasti sedih kali.",Negatif
"Lah pie iki?? 
Menteri Keuangan Sri Mulyani mengatakan bahwa Pemprov DKI Jakarta meminta pemerintah pusat menanggung semua bansos untuk diberikan kepada warga DKI Jkt terdampak pandemi Covid-19 Alasannya, keterbatasan dana.
#SkandalAmiesPemprovDKI https://m.cnnindonesia.com/nasional/20200507051113-20-500919/tiga-menteri-jokowi-soroti-kejanggalan-bansos-anies-di-dki …",Negatif
"Masih bilang beruntung, ribuan warga mati & banyak tak terdaftar korban Covid-19. Ini bukan masalah untung rugi, tapi pemerintah menolak memberi bantuan selama lock down makanya dipilih PSBB 

Jokowi: Kita Beruntung Sejak Awal Pilih PSBB Bukan Lockdown
 https://www.gelora.co/2020/05/jokowi-kita-beruntung-sejak-awal-pilih.html …",Negatif
Yang berbahaya dari Covid-19 itu cara pemerintah mengatasinya,Negatif
"Yaaa sudah sepantas nya begini, kalo perlu di ciduk aja. 

Bebas sih jrx berpendapat covid itu konspirasi, tapi ga usah disebar luaskan pemikiran seperti itu. 

Misalnya ini akal-akalan nya pemerintah, tapi PENYAKITNYA NYATA. 

Toxic boleh BEGO jangan",Negatif
"Denny galau banget nih, disuruh mudik sama orangtuanya. Tapi mudik kan dilarang sama pemerintah demi menghentikan penyebaran Covid-19. Ada lagi nih si Alpa yang disugesti jadi tukang sembuhin kesurupan. Yuk ikuti keseruannya di #SahurSegerr15 @gooddoctorid #BaikBersama pic.twitter.com/dQEsqJSfFB",Positif
"salah satu keluarga aku beberapa menit lalu meninggal gara gara covid-19, mau sampe kapan pemerintah masih santai dgn masalah ini?",Negatif
